V4,V5,C_ALPHAN,V32
PL-Poland,PL-Poland,PL,Strongly agree
PL-Poland,PL-Poland,PL,Strongly agree
PT-Portugal,PT-Portugal,PT,Agree
RU-Russia,RU-Russia,RU,Agree
RU-Russia,RU-Russia,RU,Strongly agree
RU-Russia,RU-Russia,RU,Strongly agree
RU-Russia,RU-Russia,RU,Agree
RU-Russia,RU-Russia,RU,Strongly agree
RU-Russia,RU-Russia,RU,Agree
RU-Russia,RU-Russia,RU,Agree
SK-Slovak Republic,SK-Slovak Republic,SK,Agree
SI-Slovenia,SI-Slovenia,SI,Strongly agree
ZA-South Africa,ZA-South Africa,ZA,Agree
ZA-South Africa,ZA-South Africa,ZA,Agree
ZA-South Africa,ZA-South Africa,ZA,Agree
ES-Spain,ES-Spain,ES,Agree
ES-Spain,ES-Spain,ES,Strongly agree
ES-Spain,ES-Spain,ES,Neither agree nor disagree
ES-Spain,ES-Spain,ES,Agree
ES-Spain,ES-Spain,ES,Neither agree nor disagree
ES-Spain,ES-Spain,ES,Agree
ES-Spain,ES-Spain,ES,Agree
ES-Spain,ES-Spain,ES,Agree
ES-Spain,ES-Spain,ES,Agree
SE-Sweden,SE-Sweden,SE,Agree
SE-Sweden,SE-Sweden,SE,Cant choose
SE-Sweden,SE-Sweden,SE,Strongly agree
SE-Sweden,SE-Sweden,SE,Disagree
SE-Sweden,SE-Sweden,SE,Agree
SE-Sweden,SE-Sweden,SE,Strongly agree
SE-Sweden,SE-Sweden,SE,Agree
SE-Sweden,SE-Sweden,SE,Agree
SE-Sweden,SE-Sweden,SE,Agree
SE-Sweden,SE-Sweden,SE,Strongly agree
SE-Sweden,SE-Sweden,SE,Agree
TR-Turkey,TR-Turkey,TR,Agree
TR-Turkey,TR-Turkey,TR,Strongly agree
TR-Turkey,TR-Turkey,TR,Agree
TR-Turkey,TR-Turkey,TR,Agree
TR-Turkey,TR-Turkey,TR,Strongly agree
TR-Turkey,TR-Turkey,TR,Strongly agree
TR-Turkey,TR-Turkey,TR,Agree
TR-Turkey,TR-Turkey,TR,Strongly agree
TR-Turkey,TR-Turkey,TR,Agree
TR-Turkey,TR-Turkey,TR,Strongly agree
TR-Turkey,TR-Turkey,TR,Agree
TR-Turkey,TR-Turkey,TR,Agree
UA-Ukraine,UA-Ukraine,UA,Strongly agree
UA-Ukraine,UA-Ukraine,UA,Strongly agree
UA-Ukraine,UA-Ukraine,UA,Strongly agree
UA-Ukraine,UA-Ukraine,UA,Strongly agree
UA-Ukraine,UA-Ukraine,UA,Agree
UA-Ukraine,UA-Ukraine,UA,Strongly agree
UA-Ukraine,UA-Ukraine,UA,Strongly agree
GB-GBN-Great Britain,GB-GBN-Great Britain and/or United Kingdom,GB-GBN,Agree
GB-GBN-Great Britain,GB-GBN-Great Britain and/or United Kingdom,GB-GBN,Strongly agree
GB-GBN-Great Britain,GB-GBN-Great Britain and/or United Kingdom,GB-GBN,Agree
GB-GBN-Great Britain,GB-GBN-Great Britain and/or United Kingdom,GB-GBN,Disagree
GB-GBN-Great Britain,GB-GBN-Great Britain and/or United Kingdom,GB-GBN,Strongly agree
GB-GBN-Great Britain,GB-GBN-Great Britain and/or United Kingdom,GB-GBN,Strongly disagree
GB-GBN-Great Britain,GB-GBN-Great Britain and/or United Kingdom,GB-GBN,Agree
GB-GBN-Great Britain,GB-GBN-Great Britain and/or United Kingdom,GB-GBN,Agree
GB-GBN-Great Britain,GB-GBN-Great Britain and/or United Kingdom,GB-GBN,Strongly agree
US-United States,US-United States,US,Strongly agree
US-United States,US-United States,US,Strongly agree
US-United States,US-United States,US,Neither agree nor disagree
US-United States,US-United States,US,Disagree
VE-Venezuela,VE-Venezuela,VE,Agree
VE-Venezuela,VE-Venezuela,VE,Strongly agree
VE-Venezuela,VE-Venezuela,VE,Agree
VE-Venezuela,VE-Venezuela,VE,Disagree
VE-Venezuela,VE-Venezuela,VE,Agree
VE-Venezuela,VE-Venezuela,VE,Agree
VE-Venezuela,VE-Venezuela,VE,Agree
VE-Venezuela,VE-Venezuela,VE,Neither agree nor disagree
VE-Venezuela,VE-Venezuela,VE,Agree
VE-Venezuela,VE-Venezuela,VE,Strongly agree
VE-Venezuela,VE-Venezuela,VE,Strongly agree
VE-Venezuela,VE-Venezuela,VE,Strongly agree
SK-Slovak Republic,SK-Slovak Republic,SK,Strongly agree
SK-Slovak Republic,SK-Slovak Republic,SK,Strongly agree
SK-Slovak Republic,SK-Slovak Republic,SK,Strongly agree
SK-Slovak Republic,SK-Slovak Republic,SK,Agree
SK-Slovak Republic,SK-Slovak Republic,SK,Strongly agree
SK-Slovak Republic,SK-Slovak Republic,SK,Strongly agree
SK-Slovak Republic,SK-Slovak Republic,SK,Strongly agree
SK-Slovak Republic,SK-Slovak Republic,SK,Strongly agree
SK-Slovak Republic,SK-Slovak Republic,SK,Agree
SK-Slovak Republic,SK-Slovak Republic,SK,Agree
SK-Slovak Republic,SK-Slovak Republic,SK,Agree
SK-Slovak Republic,SK-Slovak Republic,SK,Strongly agree
SK-Slovak Republic,SK-Slovak Republic,SK,Agree
CY-Cyprus,CY-Cyprus,CY,Strongly agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Strongly agree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Strongly agree
NO-Norway,NO-Norway,NO,Agree
AT-Austria,AT-Austria,AT,Agree
AT-Austria,AT-Austria,AT,Agree
CY-Cyprus,CY-Cyprus,CY,Agree
CY-Cyprus,CY-Cyprus,CY,Agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Agree
FI-Finland,FI-Finland,FI,Strongly agree
DE-E-Germany-East,DE-Germany,DE-E,Strongly agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Agree
IS-Iceland,IS-Iceland,IS,Strongly agree
LV-Latvia,LV-Latvia,LV,Neither agree nor disagree
UA-Ukraine,UA-Ukraine,UA,Disagree
GB-GBN-Great Britain,GB-GBN-Great Britain and/or United Kingdom,GB-GBN,Strongly agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CY-Cyprus,CY-Cyprus,CY,Strongly agree
CY-Cyprus,CY-Cyprus,CY,Disagree
DK-Denmark,DK-Denmark,DK,Agree
IS-Iceland,IS-Iceland,IS,Strongly agree
IS-Iceland,IS-Iceland,IS,Strongly agree
NO-Norway,NO-Norway,NO,Agree
SK-Slovak Republic,SK-Slovak Republic,SK,Agree
SE-Sweden,SE-Sweden,SE,Strongly agree
SE-Sweden,SE-Sweden,SE,Agree
SE-Sweden,SE-Sweden,SE,Agree
SE-Sweden,SE-Sweden,SE,Agree
US-United States,US-United States,US,Agree
VE-Venezuela,VE-Venezuela,VE,Disagree
CY-Cyprus,CY-Cyprus,CY,Strongly disagree
CY-Cyprus,CY-Cyprus,CY,Strongly agree
CY-Cyprus,CY-Cyprus,CY,Strongly agree
CY-Cyprus,CY-Cyprus,CY,Agree
CY-Cyprus,CY-Cyprus,CY,Strongly agree
GB-GBN-Great Britain,GB-GBN-Great Britain and/or United Kingdom,GB-GBN,Neither agree nor disagree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Neither agree nor disagree
IS-Iceland,IS-Iceland,IS,Agree
NO-Norway,NO-Norway,NO,Agree
ZA-South Africa,ZA-South Africa,ZA,Cant choose
NO-Norway,NO-Norway,NO,Strongly agree
SE-Sweden,SE-Sweden,SE,Strongly disagree
PL-Poland,PL-Poland,PL,Strongly agree
CN-China,CN-China,CN,Agree
PH-Philippines,PH-Philippines,PH,Agree
PH-Philippines,PH-Philippines,PH,Neither agree nor disagree
SK-Slovak Republic,SK-Slovak Republic,SK,Agree
NZ-New Zealand,NZ-New Zealand,NZ,Neither agree nor disagree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Disagree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Disagree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Neither agree nor disagree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Strongly agree
AR-Argentina,AR-Argentina,AR,Agree
AR-Argentina,AR-Argentina,AR,Disagree
AR-Argentina,AR-Argentina,AR,Agree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Disagree
AU-Australia,AU-Australia,AU,Neither agree nor disagree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Disagree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Disagree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Agree
AU-Australia,AU-Australia,AU,Agree
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Agree
AT-Austria,AT-Austria,AT,Neither agree nor disagree
AT-Austria,AT-Austria,AT,Neither agree nor disagree
AT-Austria,AT-Austria,AT,Neither agree nor disagree
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Agree
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Neither agree nor disagree
AT-Austria,AT-Austria,AT,Agree
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Agree
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Strongly agree
AT-Austria,AT-Austria,AT,Cant choose
AT-Austria,AT-Austria,AT,Agree
AT-Austria,AT-Austria,AT,Agree
AT-Austria,AT-Austria,AT,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Disagree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Strongly agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Neither agree nor disagree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,NA
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Strongly disagree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Strongly agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Strongly agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Disagree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Strongly agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Strongly agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Strongly agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Neither agree nor disagree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Neither agree nor disagree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Neither agree nor disagree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Strongly disagree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Strongly agree
BE-FLA-Flanders,BE-Belgium,BE-FLA,Cant choose
BG-Bulgaria,BG-Bulgaria,BG,Neither agree nor disagree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
BG-Bulgaria,BG-Bulgaria,BG,Agree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
BG-Bulgaria,BG-Bulgaria,BG,Neither agree nor disagree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
BG-Bulgaria,BG-Bulgaria,BG,Agree
BG-Bulgaria,BG-Bulgaria,BG,Agree
BG-Bulgaria,BG-Bulgaria,BG,Agree
BG-Bulgaria,BG-Bulgaria,BG,Agree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
BG-Bulgaria,BG-Bulgaria,BG,Agree
BG-Bulgaria,BG-Bulgaria,BG,Agree
BG-Bulgaria,BG-Bulgaria,BG,Agree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
BG-Bulgaria,BG-Bulgaria,BG,Strongly agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Disagree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Neither agree nor disagree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Disagree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Neither agree nor disagree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Disagree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Neither agree nor disagree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Agree
CN-China,CN-China,CN,Strongly agree
CN-China,CN-China,CN,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Agree
TW-Taiwan,TW-Taiwan,TW,Neither agree nor disagree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
HR-Croatia,HR-Croatia,HR,Neither agree nor disagree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Neither agree nor disagree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Neither agree nor disagree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Neither agree nor disagree
HR-Croatia,HR-Croatia,HR,NA
HR-Croatia,HR-Croatia,HR,Disagree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Agree
HR-Croatia,HR-Croatia,HR,Disagree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Strongly agree
HR-Croatia,HR-Croatia,HR,Neither agree nor disagree
HR-Croatia,HR-Croatia,HR,Neither agree nor disagree
CY-Cyprus,CY-Cyprus,CY,Agree
CY-Cyprus,CY-Cyprus,CY,Neither agree nor disagree
CY-Cyprus,CY-Cyprus,CY,Agree
CY-Cyprus,CY-Cyprus,CY,Agree
CY-Cyprus,CY-Cyprus,CY,Strongly agree
CY-Cyprus,CY-Cyprus,CY,Neither agree nor disagree
CY-Cyprus,CY-Cyprus,CY,Agree
CY-Cyprus,CY-Cyprus,CY,Agree
CY-Cyprus,CY-Cyprus,CY,Disagree
CY-Cyprus,CY-Cyprus,CY,Neither agree nor disagree
CY-Cyprus,CY-Cyprus,CY,Strongly agree
CY-Cyprus,CY-Cyprus,CY,Agree
CY-Cyprus,CY-Cyprus,CY,Agree
CY-Cyprus,CY-Cyprus,CY,Neither agree nor disagree
CY-Cyprus,CY-Cyprus,CY,Neither agree nor disagree
CY-Cyprus,CY-Cyprus,CY,Agree
CY-Cyprus,CY-Cyprus,CY,Neither agree nor disagree
CY-Cyprus,CY-Cyprus,CY,Cant choose
CY-Cyprus,CY-Cyprus,CY,Neither agree nor disagree
CY-Cyprus,CY-Cyprus,CY,Agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly disagree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Strongly agree
CZ-Czech Republic,CZ-Czech Republic,CZ,Agree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Disagree
DK-Denmark,DK-Denmark,DK,Strongly disagree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Disagree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Neither agree nor disagree
DK-Denmark,DK-Denmark,DK,Neither agree nor disagree
DK-Denmark,DK-Denmark,DK,Disagree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Neither agree nor disagree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Neither agree nor disagree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Disagree
DK-Denmark,DK-Denmark,DK,Neither agree nor disagree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Strongly disagree
DK-Denmark,DK-Denmark,DK,Neither agree nor disagree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Disagree
DK-Denmark,DK-Denmark,DK,Disagree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Strongly disagree
DK-Denmark,DK-Denmark,DK,Neither agree nor disagree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,NA
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Neither agree nor disagree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Disagree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Disagree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Disagree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Neither agree nor disagree
DK-Denmark,DK-Denmark,DK,Neither agree nor disagree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Strongly disagree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Disagree
DK-Denmark,DK-Denmark,DK,Neither agree nor disagree
DK-Denmark,DK-Denmark,DK,Strongly disagree
DK-Denmark,DK-Denmark,DK,Agree
DK-Denmark,DK-Denmark,DK,Disagree
DK-Denmark,DK-Denmark,DK,Strongly disagree
DK-Denmark,DK-Denmark,DK,Neither agree nor disagree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Strongly agree
DK-Denmark,DK-Denmark,DK,Strongly agree
EE-Estonia,EE-Estonia,EE,Strongly agree
EE-Estonia,EE-Estonia,EE,Strongly agree
EE-Estonia,EE-Estonia,EE,Strongly agree
EE-Estonia,EE-Estonia,EE,Agree
EE-Estonia,EE-Estonia,EE,Strongly agree
EE-Estonia,EE-Estonia,EE,Agree
EE-Estonia,EE-Estonia,EE,Strongly agree
EE-Estonia,EE-Estonia,EE,Agree
EE-Estonia,EE-Estonia,EE,Strongly agree
EE-Estonia,EE-Estonia,EE,Strongly agree
EE-Estonia,EE-Estonia,EE,Agree
EE-Estonia,EE-Estonia,EE,Agree
EE-Estonia,EE-Estonia,EE,Agree
EE-Estonia,EE-Estonia,EE,Strongly agree
EE-Estonia,EE-Estonia,EE,Strongly agree
EE-Estonia,EE-Estonia,EE,Agree
EE-Estonia,EE-Estonia,EE,Agree
EE-Estonia,EE-Estonia,EE,Strongly agree
